countyfips,year,month,day,i305
12075,2015,7,15,32.01382832
12077,2015,7,15,83.3545629
12079,2015,7,15,34.81995851
12081,2015,7,15,80.16063586
12083,2015,7,15,41.62527722
12085,2015,7,15,79.0423441
12086,2015,7,15,55.17781134
12087,2015,7,15,72.11985225
12089,2015,7,15,64.56668751
12009,2015,7,15,47.3781483
12091,2015,7,15,81.69234837
12093,2015,7,15,71.68753424
12095,2015,7,15,52.72788337
12097,2015,7,15,57.07304648
12099,2015,7,15,77.88702116
13001,2015,7,15,72.83258153
13101,2015,7,15,52.530037
13103,2015,7,15,70.83478661
13105,2015,7,15,70.54090851
13107,2015,7,15,64.31663101
13109,2015,7,15,65.020805
13011,2015,7,15,70.4337749
13111,2015,7,15,52.51678646
13113,2015,7,15,72.92975305
13115,2015,7,15,65.65428599
13117,2015,7,15,71.11726182
13119,2015,7,15,67.99350142
13121,2015,7,15,68.69933186
13123,2015,7,15,57.78988324
13125,2015,7,15,66.273071
13127,2015,7,15,77.82581301
13129,2015,7,15,64.00342744
13013,2015,7,15,67.68222553
13131,2015,7,15,82.93024276
13133,2015,7,15,70.29582811
13135,2015,7,15,68.11676091
13137,2015,7,15,70.20289189
13139,2015,7,15,71.23795925
13141,2015,7,15,71.424393
13143,2015,7,15,64.89054907
13145,2015,7,15,76.01783182
13147,2015,7,15,67.18835031
13149,2015,7,15,74.55073462
13015,2015,7,15,68.87221334
13151,2015,7,15,70.01154314
13153,2015,7,15,72.81850155
13155,2015,7,15,76.88389228
13157,2015,7,15,70.27619558
13159,2015,7,15,65.80248518
13161,2015,7,15,72.59018754
13163,2015,7,15,68.76100264
13165,2015,7,15,67.92939786
13167,2015,7,15,65.52900416
13169,2015,7,15,68.38058191
13017,2015,7,15,71.78031228
13171,2015,7,15,64.02062958
13173,2015,7,15,58.680481
13175,2015,7,15,72.43267373
13177,2015,7,15,66.85839311
13179,2015,7,15,77.5562628
13181,2015,7,15,72.38397772
13183,2015,7,15,77.53082732
13185,2015,7,15,50.86958902
13187,2015,7,15,66.91162898
13189,2015,7,15,67.92361929
13019,2015,7,15,64.00038092
13191,2015,7,15,77.78052321
13193,2015,7,15,71.73503481
13195,2015,7,15,71.57570357
13197,2015,7,15,69.12292352
13199,2015,7,15,73.99172438
13201,2015,7,15,79.13581291
13205,2015,7,15,77.73601691
13207,2015,7,15,65.64779987
13209,2015,7,15,72.14623913
13021,2015,7,15,70.30656044
13211,2015,7,15,70.85768361
13213,2015,7,15,54.21451248
13215,2015,7,15,75.12510576
13217,2015,7,15,70.75806914
13219,2015,7,15,69.86719315
13221,2015,7,15,72.35859953
13223,2015,7,15,63.01264784
13225,2015,7,15,72.26020212
13227,2015,7,15,63.401708
13229,2015,7,15,67.12220454
13023,2015,7,15,71.133324
13231,2015,7,15,65.87965931
13233,2015,7,15,67.45627698
13235,2015,7,15,61.472733
13237,2015,7,15,66.2715639
13239,2015,7,15,79.82859
