countyfips,year,month,day,i305
12045,2015,4,15,32.41593035
12047,2015,4,15,34.44781515
12049,2015,4,15,78.77460603
12005,2015,4,15,44.1180101
12051,2015,4,15,79.41756605
12053,2015,4,15,62.21321036
12055,2015,4,15,78.94080279
12057,2015,4,15,75.63754384
12059,2015,4,15,51.38733881
12061,2015,4,15,80.78434512
12063,2015,4,15,39.39028136
12065,2015,4,15,22.21964758
12067,2015,4,15,50.82583768
12069,2015,4,15,60.56637199
12007,2015,4,15,43.25476009
12071,2015,4,15,82.39619271
12073,2015,4,15,40.44949602
12075,2015,4,15,59.39701431
12077,2015,4,15,27.74680676
12079,2015,4,15,23.24469768
12081,2015,4,15,78.29344069
12083,2015,4,15,58.83969676
12085,2015,4,15,81.02085829
12086,2015,4,15,84.00388303
12087,2015,4,15,85.06404841
12089,2015,4,15,47.96551307
12009,2015,4,15,80.1160304
12091,2015,4,15,47.48839871
12093,2015,4,15,79.40296471
12095,2015,4,15,72.68672283
12097,2015,4,15,77.51379945
12099,2015,4,15,80.94499159
13001,2015,4,15,47.07819202
13101,2015,4,15,25.69348377
13103,2015,4,15,52.5316767
13105,2015,4,15,24.00757858
13107,2015,4,15,21.50493131
13109,2015,4,15,38.601612
13011,2015,4,15,16.75156724
13111,2015,4,15,32.01756332
13113,2015,4,15,48.31891764
13115,2015,4,15,56.328558
13117,2015,4,15,23.65478766
13119,2015,4,15,17.25717432
13121,2015,4,15,30.85543331
13123,2015,4,15,29.74745733
13125,2015,4,15,14.451518
13127,2015,4,15,74.92370037
13129,2015,4,15,55.35104741
13013,2015,4,15,37.44524144
13131,2015,4,15,29.70114943
13133,2015,4,15,19.80582747
13135,2015,4,15,28.26355198
13137,2015,4,15,17.15159293
13139,2015,4,15,32.99864402
13141,2015,4,15,14.086168
13143,2015,4,15,59.10497899
13145,2015,4,15,54.40331568
13147,2015,4,15,18.16942246
13149,2015,4,15,65.88313919
13015,2015,4,15,45.66219744
13151,2015,4,15,24.43588802
13153,2015,4,15,53.33395791
13155,2015,4,15,37.74863848
13157,2015,4,15,30.92503204
13159,2015,4,15,27.15246316
13161,2015,4,15,42.62502922
13163,2015,4,15,16.06116521
13165,2015,4,15,30.03302291
13167,2015,4,15,17.98073595
13169,2015,4,15,28.54342497
13017,2015,4,15,21.8140002
13171,2015,4,15,23.93160648
13173,2015,4,15,20.065025
13175,2015,4,15,18.72733196
13177,2015,4,15,33.94924022
13179,2015,4,15,67.63037978
13181,2015,4,15,9.11011634
13183,2015,4,15,68.06290105
13185,2015,4,15,25.60633775
13187,2015,4,15,34.41965043
13189,2015,4,15,9.103178126
13019,2015,4,15,33.49315531
13191,2015,4,15,71.66893257
13193,2015,4,15,56.18654016
13195,2015,4,15,21.7043291
13197,2015,4,15,49.383942
13199,2015,4,15,42.42291122
13201,2015,4,15,46.352764
13205,2015,4,15,32.35794481
13207,2015,4,15,43.0650666
13209,2015,4,15,29.93196015
13021,2015,4,15,45.4808535
13211,2015,4,15,41.61870275
13213,2015,4,15,32.79523285
13215,2015,4,15,61.65382364
13217,2015,4,15,28.58475191
13219,2015,4,15,32.10949553
13221,2015,4,15,24.33566717
13223,2015,4,15,45.82696965
13225,2015,4,15,52.83106663
13227,2015,4,15,25.87119311
13229,2015,4,15,56.62368856
13023,2015,4,15,27.356407
13231,2015,4,15,41.45825526
13233,2015,4,15,53.52856312
13235,2015,4,15,31.86833374
13237,2015,4,15,31.02547725
13239,2015,4,15,56.448784
13241,2015,4,15,19.71479298
13243,2015,4,15,54.700314
13245,2015,4,15,10.49838452
13247,2015,4,15,25.55687035
13249,2015,4,15,51.70121324
13025,2015,4,15,61.951881
13251,2015,4,15,26.58361283
13253,2015,4,15,50.49664609
13255,2015,4,15,27.13254157
13257,2015,4,15,16.96415397
13259,2015,4,15,62.2939
13261,2015,4,15,52.41228636
13263,2015,4,15,42.45417608
13265,2015,4,15,18.824871
13267,2015,4,15,44.53802149
13269,2015,4,15,49.71124671
13027,2015,4,15,25.26547572
13271,2015,4,15,16.1692576
13273,2015,4,15,47.14961492
13275,2015,4,15,28.47675586
13277,2015,4,15,42.2132725
13279,2015,4,15,32.32371591
13281,2015,4,15,33.43350969
13283,2015,4,15,23.76014375
13285,2015,4,15,64.2536622
13287,2015,4,15,44.572933
13289,2015,4,15,29.46290464
13029,2015,4,15,63.3495107
13291,2015,4,15,37.71106961
13293,2015,4,15,40.53636821
13295,2015,4,15,58.02432587
13297,2015,4,15,41.86361005
13299,2015,4,15,57.12728769
13003,2015,4,15,30.60894067
13301,2015,4,15,14.086168
13303,2015,4,15,16.62944164
13305,2015,4,15,52.27010018
13307,2015,4,15,52.64262436
13309,2015,4,15,28.772289
13031,2015,4,15,24.00369186
13311,2015,4,15,35.18006606
13313,2015,4,15,57.43229437
13315,2015,4,15,34.06261685
13317,2015,4,15,20.28915861
13319,2015,4,15,29.29388553
13321,2015,4,15,29.14227984
13033,2015,4,15,23.51044407
13035,2015,4,15,23.051525
13037,2015,4,15,51.93412
13039,2015,4,15,53.94710339
13043,2015,4,15,20.81739662
13045,2015,4,15,55.48614596
13047,2015,4,15,57.36292645
13049,2015,4,15,58.50896608
13005,2015,4,15,48.70760582
13051,2015,4,15,60.76472626
13053,2015,4,15,62.29198774
13055,2015,4,15,43.73947909
13057,2015,4,15,22.46048575
13059,2015,4,15,23.61257102
13061,2015,4,15,53.305729
13063,2015,4,15,28.5167075
13065,2015,4,15,19.42709455
13067,2015,4,15,32.49766348
13069,2015,4,15,37.75698341
13007,2015,4,15,32.50451214
13071,2015,4,15,33.63611194
13073,2015,4,15,9.141152915
13075,2015,4,15,30.31833052
13077,2015,4,15,49.29251626
13079,2015,4,15,50.37773125
13081,2015,4,15,53.43271333
13083,2015,4,15,33.48381133
13085,2015,4,15,26.01575547
13087,2015,4,15,52.89810338
13089,2015,4,15,27.62569813
13009,2015,4,15,21.88964307
13091,2015,4,15,15.20290371
13093,2015,4,15,59.90958859
13095,2015,4,15,27.56877238
13097,2015,4,15,51.84037325
13099,2015,4,15,49.00244077
16001,2015,4,15,37.37764124
16011,2015,4,15,15.61316673
16013,2015,4,15,27.17808684
16015,2015,4,15,37.361595
16017,2015,4,15,30.72827851
16019,2015,4,15,24.28991192
16021,2015,4,15,30.79266195
16023,2015,4,15,24.765301
16025,2015,4,15,23.435806
16027,2015,4,15,37.29081976
16029,2015,4,15,10.136872
16003,2015,4,15,33.17209198
16031,2015,4,15,17.84497188
16033,2015,4,15,24.071096
16035,2015,4,15,26.57085966
16037,2015,4,15,14.858527
16039,2015,4,15,36.71167862
16041,2015,4,15,10.288963
16043,2015,4,15,26.45507521
16045,2015,4,15,36.968128
16047,2015,4,15,21.40613649
16049,2015,4,15,27.06264539
16005,2015,4,15,11.98195206
16051,2015,4,15,23.43155804
16053,2015,4,15,22.56303102
16055,2015,4,15,31.14664017
16057,2015,4,15,30.89428695
16059,2015,4,15,20.59393562
16061,2015,4,15,28.57506528
16063,2015,4,15,25.492132
16065,2015,4,15,25.79444251
16067,2015,4,15,17.98230729
16069,2015,4,15,29.61428646
16007,2015,4,15,24.07524413
16071,2015,4,15,9.615421
16073,2015,4,15,37.13385412
16075,2015,4,15,37.55229617
16077,2015,4,15,10.36454326
16079,2015,4,15,28.73233234
16081,2015,4,15,28.374559
16083,2015,4,15,27.44926149
16085,2015,4,15,26.84153212
16087,2015,4,15,37.39770755
16009,2015,4,15,30.59754875
17001,2015,4,15,47.02893782
17101,2015,4,15,27.31309082
17103,2015,4,15,47.04680243
17105,2015,4,15,50.05307263
17107,2015,4,15,51.96699382
17109,2015,4,15,47.2309996
17011,2015,4,15,48.09473977
17111,2015,4,15,43.98596233
17113,2015,4,15,51.24826835
17115,2015,4,15,51.57370853
17117,2015,4,15,49.37564266
17119,2015,4,15,39.7653333
17121,2015,4,15,25.7254531
17123,2015,4,15,48.9919467
