countyfips,year,month,day,i305
17069,2015,1,15,
17007,2015,1,15,
17071,2015,1,15,
17073,2015,1,15,
17075,2015,1,15,
17077,2015,1,15,
17079,2015,1,15,
17081,2015,1,15,
17083,2015,1,15,
17085,2015,1,15,
17087,2015,1,15,
17089,2015,1,15,
17009,2015,1,15,
17091,2015,1,15,
17093,2015,1,15,
17095,2015,1,15,
17097,2015,1,15,
17099,2015,1,15,
18001,2015,1,15,
18101,2015,1,15,
18103,2015,1,15,
18105,2015,1,15,
18107,2015,1,15,
18109,2015,1,15,
18011,2015,1,15,
18111,2015,1,15,
18113,2015,1,15,
18115,2015,1,15,
18117,2015,1,15,
18119,2015,1,15,
18121,2015,1,15,
18123,2015,1,15,
18125,2015,1,15,
18127,2015,1,15,
18129,2015,1,15,
18013,2015,1,15,
18131,2015,1,15,
18133,2015,1,15,
18135,2015,1,15,
18137,2015,1,15,
18139,2015,1,15,
18141,2015,1,15,
18143,2015,1,15,
18145,2015,1,15,
18147,2015,1,15,
18149,2015,1,15,
18015,2015,1,15,
18151,2015,1,15,
18153,2015,1,15,
18155,2015,1,15,
18157,2015,1,15,
18159,2015,1,15,
18161,2015,1,15,
18163,2015,1,15,
18165,2015,1,15,
18167,2015,1,15,
18169,2015,1,15,
18017,2015,1,15,
18171,2015,1,15,
18173,2015,1,15,
18175,2015,1,15,
18177,2015,1,15,
18179,2015,1,15,
18181,2015,1,15,
18183,2015,1,15,
18019,2015,1,15,
18021,2015,1,15,
18023,2015,1,15,
18025,2015,1,15,
18027,2015,1,15,
18029,2015,1,15,
18003,2015,1,15,
18031,2015,1,15,
18033,2015,1,15,
18035,2015,1,15,
18037,2015,1,15,
18039,2015,1,15,
18041,2015,1,15,
18043,2015,1,15,
18045,2015,1,15,
18047,2015,1,15,
18049,2015,1,15,
18005,2015,1,15,
18051,2015,1,15,
18053,2015,1,15,
18055,2015,1,15,
18057,2015,1,15,
18059,2015,1,15,
18061,2015,1,15,
18063,2015,1,15,
18065,2015,1,15,
18067,2015,1,15,
18069,2015,1,15,
18007,2015,1,15,
18071,2015,1,15,
18073,2015,1,15,
18075,2015,1,15,
18077,2015,1,15,
18079,2015,1,15,
18081,2015,1,15,
18083,2015,1,15,
18085,2015,1,15,
18087,2015,1,15,
18089,2015,1,15,
18009,2015,1,15,
18091,2015,1,15,
18093,2015,1,15,
18095,2015,1,15,
18097,2015,1,15,
18099,2015,1,15,
19001,2015,1,15,7.751447803
19101,2015,1,15,
19103,2015,1,15,
19105,2015,1,15,
19107,2015,1,15,
19109,2015,1,15,4.617660637
19011,2015,1,15,
19111,2015,1,15,
19113,2015,1,15,
19115,2015,1,15,
19117,2015,1,15,7.732657956
19119,2015,1,15,4.005438383
19121,2015,1,15,7.468628
19123,2015,1,15,7.711290051
19125,2015,1,15,7.317614166
19127,2015,1,15,6.523348445
19129,2015,1,15,8.575928789
19013,2015,1,15,
19131,2015,1,15,
19133,2015,1,15,7.304537238
19135,2015,1,15,8.182125
19137,2015,1,15,8.535354117
19139,2015,1,15,
19141,2015,1,15,3.42291545
19143,2015,1,15,3.795686
19145,2015,1,15,8.699083927
19147,2015,1,15,4.388675415
19149,2015,1,15,4.506867098
19015,2015,1,15,6.164761868
19151,2015,1,15,3.831856171
19153,2015,1,15,6.778742026
19155,2015,1,15,8.522705262
19157,2015,1,15,
19159,2015,1,15,8.511542
19161,2015,1,15,4.793982412
19163,2015,1,15,
19165,2015,1,15,7.937342253
19167,2015,1,15,4.220542418
19169,2015,1,15,6.342961781
19017,2015,1,15,
19171,2015,1,15,
19173,2015,1,15,8.676554609
19175,2015,1,15,8.042125559
19177,2015,1,15,
19179,2015,1,15,8.469084
19181,2015,1,15,6.791701581
19183,2015,1,15,
19185,2015,1,15,8.471291794
19187,2015,1,15,4.652690662
19189,2015,1,15,4.57559016
19019,2015,1,15,
19191,2015,1,15,
19193,2015,1,15,6.031605824
19195,2015,1,15,4.440059
19197,2015,1,15,4.278630783
19021,2015,1,15,3.693128362
19023,2015,1,15,
19025,2015,1,15,5.330947875
19027,2015,1,15,6.92119764
19029,2015,1,15,8.268033588
19003,2015,1,15,8.349821
19031,2015,1,15,
19033,2015,1,15,3.788741817
19035,2015,1,15,3.421171478
19037,2015,1,15,
19039,2015,1,15,7.827927061
19041,2015,1,15,3.781726157
19043,2015,1,15,
19045,2015,1,15,
19047,2015,1,15,7.046332644
19049,2015,1,15,6.882869413
19005,2015,1,15,
19051,2015,1,15,8.982439
19053,2015,1,15,8.574153
19055,2015,1,15,
19057,2015,1,15,
19059,2015,1,15,4.015852077
19061,2015,1,15,
19063,2015,1,15,4.408147022
19065,2015,1,15,
19067,2015,1,15,
19069,2015,1,15,4.827591
19007,2015,1,15,8.727470016
19071,2015,1,15,8.764389855
19073,2015,1,15,6.616340146
19075,2015,1,15,
19077,2015,1,15,7.404162091
19079,2015,1,15,5.357473679
19081,2015,1,15,3.794321825
19083,2015,1,15,5.928297939
19085,2015,1,15,8.028544114
19087,2015,1,15,
19089,2015,1,15,
19009,2015,1,15,7.602011281
19091,2015,1,15,3.834159648
19093,2015,1,15,5.09590864
19095,2015,1,15,
19097,2015,1,15,
19099,2015,1,15,6.701105124
20001,2015,1,15,11.7193975
20101,2015,1,15,12.956524
20103,2015,1,15,10.86762205
20105,2015,1,15,11.778272
20107,2015,1,15,11.10669927
20109,2015,1,15,12.902394
20011,2015,1,15,11.0747183
20111,2015,1,15,12.19090483
20113,2015,1,15,12.41196879
20115,2015,1,15,12.53728297
20117,2015,1,15,10.66267821
20119,2015,1,15,13.964798
20121,2015,1,15,11.50824994
20123,2015,1,15,11.106902
20125,2015,1,15,11.93632216
20127,2015,1,15,12.21863778
20129,2015,1,15,14.955202
20013,2015,1,15,10.31837908
20131,2015,1,15,10.42607287
20133,2015,1,15,11.66712976
20135,2015,1,15,12.96784428
20137,2015,1,15,11.259833
20139,2015,1,15,11.75773075
20141,2015,1,15,11.580809
20143,2015,1,15,11.56959148
20145,2015,1,15,12.7866907
20147,2015,1,15,11.54713274
20149,2015,1,15,11.06368797
20015,2015,1,15,12.57827123
20151,2015,1,15,13.131191
20153,2015,1,15,11.580611
20155,2015,1,15,12.87435476
20157,2015,1,15,10.72897371
20159,2015,1,15,12.55525657
20161,2015,1,15,11.08015171
20163,2015,1,15,12.03649344
20165,2015,1,15,12.46233712
20167,2015,1,15,12.42169802
20169,2015,1,15,11.96651016
20017,2015,1,15,12.19288
20171,2015,1,15,13.370551
20173,2015,1,15,12.73910748
20175,2015,1,15,14.181986
20177,2015,1,15,11.45559928
20179,2015,1,15,11.838635
20181,2015,1,15,13.202013
20183,2015,1,15,11.435625
20185,2015,1,15,13.076832
20187,2015,1,15,13.540792
20189,2015,1,15,14.36034034
20019,2015,1,15,12.086953
20191,2015,1,15,12.97816245
20193,2015,1,15,12.46646
20195,2015,1,15,12.990088
20197,2015,1,15,11.89806362
20199,2015,1,15,13.708271
20201,2015,1,15,10.74168878
20203,2015,1,15,14.057353
20205,2015,1,15,12.00670235
20207,2015,1,15,12.138727
20209,2015,1,15,11.02007727
20021,2015,1,15,11.48039656
20023,2015,1,15,11.098204
20025,2015,1,15,14.025171
20027,2015,1,15,10.973125
20029,2015,1,15,10.96969745
20003,2015,1,15,11.71608212
20031,2015,1,15,11.93426442
20033,2015,1,15,13.536539
20035,2015,1,15,12.90919331
20037,2015,1,15,11.40642038
20039,2015,1,15,11.273364
20041,2015,1,15,11.74413333
20043,2015,1,15,10.06868012
20045,2015,1,15,11.72264982
20047,2015,1,15,13.25556147
20049,2015,1,15,12.241451
20005,2015,1,15,10.19307361
20051,2015,1,15,12.43366268
20053,2015,1,15,12.31227482
20055,2015,1,15,13.68068553
20057,2015,1,15,13.67694784
20059,2015,1,15,11.79360634
20061,2015,1,15,11.36320629
20063,2015,1,15,12.65568527
20065,2015,1,15,12.24787
20067,2015,1,15,13.931864
20069,2015,1,15,13.64502845
20007,2015,1,15,13.36597885
20071,2015,1,15,14.175193
20073,2015,1,15,12.2188239
20075,2015,1,15,13.081767
20077,2015,1,15,13.22456666
20079,2015,1,15,12.54006838
20081,2015,1,15,14.147064
20083,2015,1,15,13.402047
20085,2015,1,15,10.61904452
20087,2015,1,15,11.14412007
20089,2015,1,15,10.93091097
20009,2015,1,15,12.67333517
20091,2015,1,15,11.20924056
20093,2015,1,15,13.719448
20095,2015,1,15,13.05734571
20097,2015,1,15,13.448442
20099,2015,1,15,11.68423322
21001,2015,1,15,
21101,2015,1,15,
21103,2015,1,15,
21105,2015,1,15,
21107,2015,1,15,
21109,2015,1,15,
21011,2015,1,15,
21111,2015,1,15,
21113,2015,1,15,
21115,2015,1,15,
21117,2015,1,15,
21119,2015,1,15,
21121,2015,1,15,
21123,2015,1,15,
21125,2015,1,15,
21127,2015,1,15,
21129,2015,1,15,
21013,2015,1,15,
21131,2015,1,15,
21133,2015,1,15,
21135,2015,1,15,
21137,2015,1,15,
21139,2015,1,15,
21141,2015,1,15,
21143,2015,1,15,
21145,2015,1,15,
21147,2015,1,15,
21149,2015,1,15,
21015,2015,1,15,
21151,2015,1,15,
21153,2015,1,15,
21155,2015,1,15,
21157,2015,1,15,
21159,2015,1,15,
21161,2015,1,15,
21163,2015,1,15,
21165,2015,1,15,
21167,2015,1,15,
21169,2015,1,15,
21017,2015,1,15,
21171,2015,1,15,
21173,2015,1,15,
21175,2015,1,15,
21177,2015,1,15,
21179,2015,1,15,
21181,2015,1,15,
21183,2015,1,15,
21185,2015,1,15,
21187,2015,1,15,
21189,2015,1,15,
21019,2015,1,15,
21191,2015,1,15,
21193,2015,1,15,
21195,2015,1,15,
21197,2015,1,15,
21199,2015,1,15,
21201,2015,1,15,
21203,2015,1,15,
21205,2015,1,15,
21207,2015,1,15,
21209,2015,1,15,
21021,2015,1,15,
21211,2015,1,15,
21213,2015,1,15,
21215,2015,1,15,
21217,2015,1,15,
21219,2015,1,15,
21221,2015,1,15,
21223,2015,1,15,
21225,2015,1,15,
21227,2015,1,15,
21229,2015,1,15,
21023,2015,1,15,
21231,2015,1,15,
21233,2015,1,15,
21235,2015,1,15,
21237,2015,1,15,
21239,2015,1,15,
21025,2015,1,15,
21027,2015,1,15,
21029,2015,1,15,
21003,2015,1,15,
21031,2015,1,15,
21033,2015,1,15,
21035,2015,1,15,
21037,2015,1,15,
21039,2015,1,15,
21041,2015,1,15,
21043,2015,1,15,
21045,2015,1,15,
21047,2015,1,15,
21049,2015,1,15,
21005,2015,1,15,
21051,2015,1,15,
21053,2015,1,15,
21055,2015,1,15,
21057,2015,1,15,
21059,2015,1,15,
21061,2015,1,15,
21063,2015,1,15,
21065,2015,1,15,
21067,2015,1,15,
21069,2015,1,15,
21007,2015,1,15,
21071,2015,1,15,
21073,2015,1,15,
21075,2015,1,15,
21077,2015,1,15,
21079,2015,1,15,
21081,2015,1,15,
21083,2015,1,15,
21085,2015,1,15,
21087,2015,1,15,
21089,2015,1,15,
21009,2015,1,15,
21091,2015,1,15,
21093,2015,1,15,
21095,2015,1,15,
21097,2015,1,15,
21099,2015,1,15,
22001,2015,1,15,9.671607799
22101,2015,1,15,8.810828977
22103,2015,1,15,9.072742751
22105,2015,1,15,8.693734201
22107,2015,1,15,18.04922505
22109,2015,1,15,7.349429934
22011,2015,1,15,22.35455768
22111,2015,1,15,17.31871639
22113,2015,1,15,7.744425911
22115,2015,1,15,22.97048632
22117,2015,1,15,6.648853512
22119,2015,1,15,19.90282621
22121,2015,1,15,6.70874853
22123,2015,1,15,18.00713457
22125,2015,1,15,9.82649379
22127,2015,1,15,20.63369512
22013,2015,1,15,20.5278504
22015,2015,1,15,19.87532754
22017,2015,1,15,19.987255
22019,2015,1,15,22.90412495
22021,2015,1,15,20.01934871
22023,2015,1,15,15.85693972
22025,2015,1,15,20.2423529
22027,2015,1,15,19.8949766
22029,2015,1,15,18.28387206
22003,2015,1,15,19.66676068
22031,2015,1,15,20.62658074
22033,2015,1,15,6.749053465
22035,2015,1,15,15.09686065
22037,2015,1,15,9.044657081
22039,2015,1,15,15.81516184
22041,2015,1,15,19.32919007
22043,2015,1,15,21.46941296
22045,2015,1,15,7.61651802
22047,2015,1,15,7.836709383
22049,2015,1,15,18.38799492
22005,2015,1,15,9.264201225
22051,2015,1,15,6.261689879
22053,2015,1,15,13.44916176
22055,2015,1,15,8.24693138
22057,2015,1,15,7.379891605
22059,2015,1,15,20.93863718
22061,2015,1,15,18.16353504
22063,2015,1,15,7.104357602
22065,2015,1,15,14.88919924
22067,2015,1,15,17.90333803
22069,2015,1,15,21.20847323
22007,2015,1,15,9.178932294
22071,2015,1,15,5.846424885
22073,2015,1,15,18.67318912
22075,2015,1,15,6.81132618
22077,2015,1,15,8.722906418
22079,2015,1,15,21.12567365
22081,2015,1,15,20.74496547
22083,2015,1,15,19.17155727
22085,2015,1,15,21.70015967
22087,2015,1,15,5.825918379
22089,2015,1,15,6.541604587
22009,2015,1,15,17.28429213
22091,2015,1,15,7.533922099
22093,2015,1,15,8.793299103
22095,2015,1,15,9.007186
22097,2015,1,15,10.34288395
22099,2015,1,15,8.096917963
23001,2015,1,15,1.983427514
23011,2015,1,15,1.798295407
23013,2015,1,15,2.277214939
23015,2015,1,15,2.261549841
